unidade;ano;mes;setor_centro_custo;leito_dia;leito_operacional_sem_extra
CHPB;2022;5;LAR INCLUSIVO C;465;465
CHPB;2022;5;LAR INCLUSIVO D;438;438
CHPB;2022;5;LAR INCLUSIVO E;124;124
CHPB;2022;5;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;615;615
CHPB;2022;5;UNIDADE DE TRATAMENTO CLINICO;17;0
CHPB;2022;5;UNIDADE INTERNAÇÃO - PSIQUIATRIA;1240;1240
CHPB;2022;6;LAR INCLUSIVO;630;630
CHPB;2022;6;LAR INCLUSIVO B;450;450
CHPB;2022;6;LAR INCLUSIVO C;450;450
CHPB;2022;6;LAR INCLUSIVO D;420;420
CHPB;2022;6;LAR INCLUSIVO E;120;120
CHPB;2022;6;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;690;690
CHPB;2022;6;UNIDADE DE TRATAMENTO CLINICO;11;0
CHPB;2022;6;UNIDADE INTERNAÇÃO - PSIQUIATRIA;1173;1173
CHPB;2022;7;LAR INCLUSIVO;651;651
CHPB;2022;7;LAR INCLUSIVO B;465;465
CHPB;2022;7;LAR INCLUSIVO C;465;465
CHPB;2022;7;LAR INCLUSIVO D;434;434
CHPB;2022;7;LAR INCLUSIVO E;124;124
CHPB;2022;7;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;775;775
CHPB;2022;7;UNIDADE DE TRATAMENTO CLINICO;31;0
CHPB;2022;7;UNIDADE INTERNAÇÃO - PSIQUIATRIA;1215;1215
CHPB;2022;8;CAC - CENTRO DE ACOLHIMENTO DE CRISE;960;960
CHPB;2022;8;LAR INCLUSIVO;375;375
CHPB;2022;8;LAR INCLUSIVO B;465;465
CHPB;2022;8;LAR INCLUSIVO C;516;516
CHPB;2022;8;LAR INCLUSIVO D;272;272
CHPB;2022;8;LAR INCLUSIVO E;13;13
CHPB;2022;8;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;775;775
CHPB;2022;8;UNIDADE DE TRATAMENTO CLINICO;10;0
CHPB;2022;8;UNIDADE INTERNAÇÃO - PSIQUIATRIA;317;280
CHPB;2022;9;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1200;1200
CHPB;2022;9;LAR INCLUSIVO;300;300
CHPB;2022;9;LAR INCLUSIVO B;450;450
CHPB;2022;9;LAR INCLUSIVO C;353;353
CHPB;2022;9;LAR INCLUSIVO D;240;240
CHPB;2022;9;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;750;750
CHPB;2022;9;UNIDADE INTERNAÇÃO - PSIQUIATRIA;22;0
CHPB;2022;10;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1240;1240
CHPB;2022;10;LAR INCLUSIVO;303;303
CHPB;2022;10;LAR INCLUSIVO B;465;465
CHPB;2022;10;LAR INCLUSIVO C;372;372
CHPB;2022;10;LAR INCLUSIVO D;248;248
CHPB;2022;10;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;775;775
CHPB;2022;10;UNIDADE INTERNAÇÃO - PSIQUIATRIA;6;0
CHPB;2022;11;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1200;1200
CHPB;2022;11;LAR INCLUSIVO;300;300
CHPB;2022;11;LAR INCLUSIVO B;450;450
CHPB;2022;11;LAR INCLUSIVO C;360;360
CHPB;2022;11;LAR INCLUSIVO D;240;240
CHPB;2022;11;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;750;750
CHPB;2022;12;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1240;1240
CHPB;2022;12;LAR INCLUSIVO;279;279
CHPB;2022;12;LAR INCLUSIVO B;434;434
CHPB;2022;12;LAR INCLUSIVO C;372;372
CHPB;2022;12;LAR INCLUSIVO D;217;217
CHPB;2022;12;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;775;775
CHPB;2023;1;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1240;1240
CHPB;2023;1;LAR INCLUSIVO;279;279
CHPB;2023;1;LAR INCLUSIVO B;434;434
CHPB;2023;1;LAR INCLUSIVO C;372;372
CHPB;2023;1;LAR INCLUSIVO D;217;217
CHPB;2023;1;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;775;775
CHPB;2023;1;UNIDADE INTERNAÇÃO - PSIQUIATRIA;4;0
CHPB;2023;2;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1120;1120
CHPB;2023;2;LAR INCLUSIVO;252;252
CHPB;2023;2;LAR INCLUSIVO B;392;392
CHPB;2023;2;LAR INCLUSIVO C;336;336
CHPB;2023;2;LAR INCLUSIVO D;196;196
CHPB;2023;2;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;700;700
CHPB;2023;2;UNIDADE INTERNAÇÃO - PSIQUIATRIA;5;0
CHPB;2023;3;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1160;1160
CHPB;2023;3;LAR INCLUSIVO;283;283
CHPB;2023;3;LAR INCLUSIVO B;406;406
CHPB;2023;3;LAR INCLUSIVO C;348;348
CHPB;2023;3;LAR INCLUSIVO D;174;174
CHPB;2023;3;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;725;725
CHPB;2023;3;UNIDADE INTERNAÇÃO - PSIQUIATRIA;16;0
CHPB;2023;4;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1200;1200
CHPB;2023;4;LAR INCLUSIVO;300;300
CHPB;2023;4;LAR INCLUSIVO B;420;420
CHPB;2023;4;LAR INCLUSIVO C;360;360
CHPB;2023;4;LAR INCLUSIVO D;180;180
CHPB;2023;4;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;750;750
CHPB;2023;4;UNIDADE INTERNAÇÃO - PSIQUIATRIA;14;0
CHPB;2023;5;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1240;1240
CHPB;2023;5;LAR INCLUSIVO;310;310
CHPB;2023;5;LAR INCLUSIVO B;434;434
CHPB;2023;5;LAR INCLUSIVO C;372;372
CHPB;2023;5;LAR INCLUSIVO D;186;186
CHPB;2023;5;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;775;775
CHPB;2023;5;UNIDADE INTERNAÇÃO - PSIQUIATRIA;19;0
CHPB;2023;6;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1200;1200
CHPB;2023;6;LAR INCLUSIVO;300;300
CHPB;2023;6;LAR INCLUSIVO B;420;420
CHPB;2023;6;LAR INCLUSIVO C;360;360
CHPB;2023;6;LAR INCLUSIVO D;180;180
CHPB;2023;6;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;750;750
CHPB;2023;6;UNIDADE INTERNAÇÃO - PSIQUIATRIA;11;0
CHPB;2023;7;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1240;1240
CHPB;2023;7;LAR INCLUSIVO;285;285
CHPB;2023;7;LAR INCLUSIVO B;322;322
CHPB;2023;7;LAR INCLUSIVO C;318;318
CHPB;2023;7;LAR INCLUSIVO D;181;181
CHPB;2023;7;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;775;775
CHPB;2023;7;UNIDADE INTERNAÇÃO - PSIQUIATRIA;21;0
CHPB;2023;8;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1240;1240
CHPB;2023;8;LAR INCLUSIVO;279;279
CHPB;2023;8;LAR INCLUSIVO B;310;310
CHPB;2023;8;LAR INCLUSIVO C;310;310
CHPB;2023;8;LAR INCLUSIVO D;155;155
CHPB;2023;8;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;775;775
CHPB;2023;8;UNIDADE INTERNAÇÃO - PSIQUIATRIA;36;0
CHPB;2023;9;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1200;1200
CHPB;2023;9;LAR INCLUSIVO;270;270
CHPB;2023;9;LAR INCLUSIVO B;300;300
CHPB;2023;9;LAR INCLUSIVO C;300;300
CHPB;2023;9;LAR INCLUSIVO D;150;150
CHPB;2023;9;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;750;750
CHPB;2023;9;UNIDADE INTERNAÇÃO - PSIQUIATRIA;16;0
CHPB;2023;10;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1240;1240
CHPB;2023;10;LAR INCLUSIVO;279;279
CHPB;2023;10;LAR INCLUSIVO B;310;310
CHPB;2023;10;LAR INCLUSIVO C;310;310
CHPB;2023;10;LAR INCLUSIVO D;155;155
CHPB;2023;10;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;775;775
CHPB;2023;10;UNIDADE INTERNAÇÃO - PSIQUIATRIA;36;0
CHPB;2023;11;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1200;1200
CHPB;2023;11;LAR INCLUSIVO;270;270
CHPB;2023;11;LAR INCLUSIVO B;300;300
CHPB;2023;11;LAR INCLUSIVO C;300;300
CHPB;2023;11;LAR INCLUSIVO D;150;150
CHPB;2023;11;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;750;750
CHPB;2023;11;UNIDADE INTERNAÇÃO - PSIQUIATRIA;48;0
CHPB;2023;12;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1240;1240
CHPB;2023;12;LAR INCLUSIVO;279;279
CHPB;2023;12;LAR INCLUSIVO B;310;310
CHPB;2023;12;LAR INCLUSIVO C;310;310
CHPB;2023;12;LAR INCLUSIVO D;155;155
CHPB;2023;12;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;775;775
CHPB;2023;12;UNIDADE INTERNAÇÃO - PSIQUIATRIA;32;0
CHPB;2024;1;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1240;1240
CHPB;2024;1;LAR INCLUSIVO;279;279
CHPB;2024;1;LAR INCLUSIVO B;310;310
CHPB;2024;1;LAR INCLUSIVO C;310;310
CHPB;2024;1;LAR INCLUSIVO D;155;155
CHPB;2024;1;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;775;775
CHPB;2024;1;UNIDADE INTERNAÇÃO - PSIQUIATRIA;37;0
CHPB;2024;2;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1160;1160
CHPB;2024;2;LAR INCLUSIVO;261;261
CHPB;2024;2;LAR INCLUSIVO B;290;290
CHPB;2024;2;LAR INCLUSIVO C;290;290
CHPB;2024;2;LAR INCLUSIVO D;141;141
CHPB;2024;2;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;725;725
CHPB;2024;2;UNIDADE INTERNAÇÃO - PSIQUIATRIA;46;0
CHPB;2024;3;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1240;1240
CHPB;2024;3;LAR INCLUSIVO;279;279
CHPB;2024;3;LAR INCLUSIVO B;310;310
CHPB;2024;3;LAR INCLUSIVO C;310;310
CHPB;2024;3;LAR INCLUSIVO D;124;124
CHPB;2024;3;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;775;775
CHPB;2024;3;UNIDADE INTERNAÇÃO - PSIQUIATRIA;38;0
CHPB;2024;4;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1200;1200
CHPB;2024;4;LAR INCLUSIVO;240;240
CHPB;2024;4;LAR INCLUSIVO B;300;300
CHPB;2024;4;LAR INCLUSIVO C;300;300
CHPB;2024;4;LAR INCLUSIVO D;120;120
CHPB;2024;4;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;750;750
CHPB;2024;4;UNIDADE INTERNAÇÃO - PSIQUIATRIA;35;0
CHPB;2024;5;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1240;1240
CHPB;2024;5;LAR INCLUSIVO;248;248
CHPB;2024;5;LAR INCLUSIVO B;310;310
CHPB;2024;5;LAR INCLUSIVO C;310;310
CHPB;2024;5;LAR INCLUSIVO D;124;124
CHPB;2024;5;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;775;775
CHPB;2024;5;UNIDADE INTERNAÇÃO - PSIQUIATRIA;40;0
CHPB;2024;6;CAC - CENTRO DE ACOLHIMENTO DE CRISE;1000;1000
CHPB;2024;6;LAR INCLUSIVO;200;200
CHPB;2024;6;LAR INCLUSIVO A/CHPB/CHB;108;108
CHPB;2024;6;LAR INCLUSIVO B;250;250
CHPB;2024;6;LAR INCLUSIVO B/CHPB/CHB;96;96
CHPB;2024;6;LAR INCLUSIVO C;250;250
CHPB;2024;6;LAR INCLUSIVO D;100;100
CHPB;2024;6;UIP-MASCULINA/CHPB/CHB;240;240
CHPB;2024;6;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;625;625
CHPB;2024;6;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;162;162
CHPB;2024;6;UNIDADE INTERNAÇÃO - PSIQUIATRIA;27;0
CHPB;2024;7;CAC/CHPB/CHB;58;58
CHPB;2024;7;LAR INCLUSIVO A/CHPB/CHB;558;558
CHPB;2024;7;LAR INCLUSIVO B/CHPB/CHB;496;496
CHPB;2024;7;UIP-FEMININA/CHPB/CHB;98;98
CHPB;2024;7;UIP-MASCULINA/CHPB/CHB;1142;1142
CHPB;2024;7;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;779;779
CHPB;2024;8;CAC/CHPB/CHB;62;62
CHPB;2024;8;LAR INCLUSIVO A/CHPB/CHB;558;558
CHPB;2024;8;LAR INCLUSIVO B/CHPB/CHB;464;464
CHPB;2024;8;UIP-FEMININA/CHPB/CHB;434;434
CHPB;2024;8;UIP-MASCULINA/CHPB/CHB;806;806
CHPB;2024;8;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;775;775
CHPB;2024;9;CAC/CHPB/CHB;60;60
CHPB;2024;9;LAR INCLUSIVO A/CHPB/CHB;540;540
CHPB;2024;9;LAR INCLUSIVO B/CHPB/CHB;420;420
CHPB;2024;9;UIP-FEMININA/CHPB/CHB;420;420
CHPB;2024;9;UIP-MASCULINA/CHPB/CHB;780;780
CHPB;2024;9;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;750;750
CHPB;2024;10;CAC/CHPB/CHB;62;62
CHPB;2024;10;LAR INCLUSIVO A/CHPB/CHB;558;558
CHPB;2024;10;LAR INCLUSIVO B/CHPB/CHB;434;434
CHPB;2024;10;UIP-FEMININA/CHPB/CHB;434;434
CHPB;2024;10;UIP-MASCULINA/CHPB/CHB;806;806
CHPB;2024;10;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;775;775
CHPB;2024;11;CAC/CHPB/CHB;60;60
CHPB;2024;11;LAR INCLUSIVO A/CHPB/CHB;540;540
CHPB;2024;11;LAR INCLUSIVO B/CHPB/CHB;420;420
CHPB;2024;11;UIP-FEMININA/CHPB/CHB;420;420
CHPB;2024;11;UIP-MASCULINA/CHPB/CHB;780;780
CHPB;2024;11;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;750;750
CHPB;2024;12;CAC/CHPB/CHB;62;62
CHPB;2024;12;LAR INCLUSIVO A/CHPB/CHB;513;513
CHPB;2024;12;LAR INCLUSIVO B/CHPB/CHB;425;425
CHPB;2024;12;UIP-FEMININA/CHPB/CHB;434;434
CHPB;2024;12;UIP-MASCULINA/CHPB/CHB;806;806
CHPB;2024;12;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;775;775
CHPB;2025;1;CAC/CHPB/CHB;62;62
CHPB;2025;1;LAR INCLUSIVO A/CHPB/CHB;367;367
CHPB;2025;1;LAR INCLUSIVO B/CHPB/CHB;392;392
CHPB;2025;1;UIP-FEMININA/CHPB/CHB;434;434
CHPB;2025;1;UIP-MASCULINA/CHPB/CHB;806;806
CHPB;2025;1;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;775;775
CHPB;2025;2;CAC/CHPB/CHB;56;56
CHPB;2025;2;LAR INCLUSIVO A/CHPB/CHB;308;308
CHPB;2025;2;LAR INCLUSIVO B/CHPB/CHB;336;336
CHPB;2025;2;UIP-FEMININA/CHPB/CHB;392;392
CHPB;2025;2;UIP-MASCULINA/CHPB/CHB;728;728
CHPB;2025;2;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;700;700
CHPB;2025;3;CAC/CHPB/CHB;62;62
CHPB;2025;3;LAR INCLUSIVO A/CHPB/CHB;341;341
CHPB;2025;3;LAR INCLUSIVO B/CHPB/CHB;371;371
CHPB;2025;3;UIP-FEMININA/CHPB/CHB;434;434
CHPB;2025;3;UIP-MASCULINA/CHPB/CHB;806;806
CHPB;2025;3;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;775;775
CHPB;2025;4;CAC/CHPB/CHB;60;60
CHPB;2025;4;LAR INCLUSIVO A/CHPB/CHB;330;330
CHPB;2025;4;LAR INCLUSIVO B/CHPB/CHB;313;313
CHPB;2025;4;UIP-FEMININA/CHPB/CHB;420;420
CHPB;2025;4;UIP-MASCULINA/CHPB/CHB;780;780
CHPB;2025;4;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;750;750
CHPB;2025;5;CAC/CHPB/CHB;62;62
CHPB;2025;5;LAR INCLUSIVO A/CHPB/CHB;331;331
CHPB;2025;5;LAR INCLUSIVO B/CHPB/CHB;310;310
CHPB;2025;5;UIP-FEMININA/CHPB/CHB;434;434
CHPB;2025;5;UIP-MASCULINA/CHPB/CHB;806;806
CHPB;2025;5;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;775;775
CHPB;2025;6;CAC/CHPB/CHB;60;60
CHPB;2025;6;LAR INCLUSIVO A/CHPB/CHB;300;300
CHPB;2025;6;LAR INCLUSIVO B/CHPB/CHB;283;283
CHPB;2025;6;UIP-FEMININA/CHPB/CHB;420;420
CHPB;2025;6;UIP-MASCULINA/CHPB/CHB;780;780
CHPB;2025;6;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;750;750
CHPB;2025;7;CAC/CHPB/CHB;62;62
CHPB;2025;7;LAR INCLUSIVO A/CHPB/CHB;310;310
CHPB;2025;7;LAR INCLUSIVO B/CHPB/CHB;279;279
CHPB;2025;7;UIP-FEMININA/CHPB/CHB;434;434
CHPB;2025;7;UIP-MASCULINA/CHPB/CHB;806;806
CHPB;2025;7;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;775;775
CHPB;2025;8;CAC/CHPB/CHB;62;62
CHPB;2025;8;LAR INCLUSIVO A/CHPB/CHB;279;279
CHPB;2025;8;LAR INCLUSIVO B/CHPB/CHB;279;279
CHPB;2025;8;UIP-FEMININA/CHPB/CHB;434;434
CHPB;2025;8;UIP-MASCULINA/CHPB/CHB;806;806
CHPB;2025;8;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;775;775
CHPB;2025;9;CAC/CHPB/CHB;60;60
CHPB;2025;9;LAR INCLUSIVO A/CHPB/CHB;270;270
CHPB;2025;9;LAR INCLUSIVO B/CHPB/CHB;264;264
CHPB;2025;9;UIP-FEMININA/CHPB/CHB;396;396
CHPB;2025;9;UIP-MASCULINA/CHPB/CHB;744;744
CHPB;2025;9;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;750;750
CHPB;2025;10;CAC/CHPB/CHB;62;62
CHPB;2025;10;LAR INCLUSIVO A/CHPB/CHB;279;279
CHPB;2025;10;LAR INCLUSIVO B/CHPB/CHB;248;248
CHPB;2025;10;UIP-FEMININA/CHPB/CHB;310;310
CHPB;2025;10;UIP-MASCULINA/CHPB/CHB;620;620
CHPB;2025;10;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;775;775
CHPB;2025;11;CAC/CHPB/CHB;60;60
CHPB;2025;11;LAR INCLUSIVO A/CHPB/CHB;270;270
CHPB;2025;11;LAR INCLUSIVO B/CHPB/CHB;240;240
CHPB;2025;11;UIP-FEMININA/CHPB/CHB;300;300
CHPB;2025;11;UIP-MASCULINA/CHPB/CHB;600;600
CHPB;2025;11;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;750;750
CHPB;2025;12;CAC/CHPB/CHB;62;62
CHPB;2025;12;LAR INCLUSIVO A/CHPB/CHB;279;279
CHPB;2025;12;LAR INCLUSIVO B/CHPB/CHB;248;248
CHPB;2025;12;UIP-FEMININA/CHPB/CHB;310;310
CHPB;2025;12;UIP-MASCULINA/CHPB/CHB;620;620
CHPB;2025;12;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;775;775
CSPD;2022;1;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;961;961
CSPD;2022;2;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;868;868
CSPD;2022;3;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;961;961
CSPD;2022;4;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;930;930
CSPD;2022;5;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;961;961
CSPD;2022;6;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;930;930
CSPD;2022;7;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;961;961
CSPD;2022;8;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;961;961
CSPD;2022;9;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;33;33
CSPD;2022;9;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;900;900
CSPD;2022;10;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;320;320
CSPD;2022;10;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;651;651
CSPD;2022;11;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;300;300
CSPD;2022;11;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;630;630
CSPD;2022;12;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;310;310
CSPD;2022;12;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;651;651
CSPD;2023;1;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;310;310
CSPD;2023;1;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;651;651
CSPD;2023;2;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;280;280
CSPD;2023;2;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;588;588
CSPD;2023;3;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;290;290
CSPD;2023;3;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;610;610
CSPD;2023;4;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;300;300
CSPD;2023;4;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;630;630
CSPD;2023;5;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;310;310
CSPD;2023;5;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;651;651
CSPD;2023;6;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;300;300
CSPD;2023;6;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;630;630
CSPD;2023;7;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;310;310
CSPD;2023;7;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;651;651
CSPD;2023;8;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;310;310
CSPD;2023;8;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;651;651
CSPD;2023;9;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;300;300
CSPD;2023;9;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;630;630
CSPD;2023;10;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;625;625
CSPD;2023;10;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;336;336
CSPD;2023;11;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;186;186
CSPD;2023;11;UNIDADE DE INTERNAÇÃO DE CUIDADOS PROLONGADOS;248;248
CSPD;2023;12;UNIDADE DE INTERNAÇÃO DE CUIDADOS PROLONGADOS;1132;1132
CSPD;2024;1;UNIDADE DE INTERNAÇÃO DE CUIDADOS PROLONGADOS;1240;1240
CSPD;2024;2;UNIDADE DE INTERNAÇÃO DE CUIDADOS PROLONGADOS;1160;1160
CSPD;2024;3;UNIDADE DE INTERNAÇÃO DE CUIDADOS PROLONGADOS;1240;1240
CSPD;2024;4;UNIDADE DE INTERNAÇÃO DE CUIDADOS PROLONGADOS;1200;1200
CSPD;2024;5;UNIDADE DE INTERNAÇÃO DE CUIDADOS PROLONGADOS;1240;1240
CSPD;2024;6;UNIDADE DE INTERNAÇÃO DE CUIDADOS PROLONGADOS;1200;1200
CSPD;2024;7;UNIDADE DE INTERNAÇÃO DE CUIDADOS PROLONGADOS;1240;1240
CSPD;2024;8;UNIDADE DE INTERNAÇÃO DE CUIDADOS PROLONGADOS;1240;1240
CSPD;2024;9;UNIDADE DE INTERNAÇÃO DE CUIDADOS PROLONGADOS;1128;1128
CSPD;2024;10;UNIDADE DE INTERNAÇÃO DE CUIDADOS PROLONGADOS;1186;1186
CSPD;2024;11;UNIDADE DE INTERNAÇÃO DE CUIDADOS PROLONGADOS;1174;1174
CSPD;2024;12;UNIDADE DE INTERNAÇÃO DE CUIDADOS PROLONGADOS;1240;1240
CSPD;2025;1;UNIDADE DE INTERNAÇÃO DE CUIDADOS PROLONGADOS;1240;1240
CSPD;2025;2;UNIDADE DE INTERNAÇÃO DE CUIDADOS PROLONGADOS;1120;1120
CSPD;2025;3;UNIDADE DE INTERNAÇÃO DE CUIDADOS PROLONGADOS;1220;1220
